指标名称,公共财政收入:当月值,财政收支差额:当月值,税收收入:当月值,非税收入:当月值,公共财政支出:当月值,中央本级财政支出:当月值,地方财政支出:当月值
2001-01,"1,340.66",513.38,"1,298.76",,827.28,,
2001-02,"1,042.37",91.54,992.43,,950.83,,
2001-03,"1,298.98",244.11,"1,243.04",,"1,054.87",,
2001-04,"1,553.96",372.66,"1,478.78",,"1,181.30",,
2001-05,"1,226.60",-83.35,"1,157.54",,"1,309.95",,
2001-06,"1,409.78",-310.64,"1,303.59",,"1,720.42",,
2001-07,"1,455.06",91.25,"1,371.39",,"1,363.81",,
2001-08,"1,247.58",-219.65,"1,163.74",,"1,467.23",,
2001-09,"1,297.31",-306.63,"1,203.75",,"1,603.94",,
2001-10,"1,502.38",278.93,"1,422.53",,"1,223.45",,
2001-11,"1,293.17",-508.24,"1,218.89",,"1,801.41",,
2001-12,"1,718.19","-2,679.90","1,556.80",,"4,398.09",,
2002-01,"1,511.33",470.76,"1,443.63",,"1,040.57",,
2002-02,975.59,-148.61,933.03,,"1,124.20",,
2002-03,"1,320.89",-25.69,"1,246.20",,"1,346.58",,
2002-04,"1,787.55",299.50,"1,676.10",,"1,488.05",,
2002-05,"1,465.97",130.98,"1,366.86",,"1,334.99",,
2002-06,"1,538.33",-424.64,"1,416.58",,"1,962.97",,
2002-07,"1,715.24",33.02,"1,618.11",,"1,682.22",,
2002-08,"1,342.14",-265.31,"1,253.84",,"1,607.45",,
2002-09,"1,512.88",-397.64,"1,396.48",,"1,910.52",,
2002-10,"1,822.89",309.03,"1,728.57",,"1,513.86",,
2002-11,"1,495.33",-404.69,"1,386.19",,"1,900.02",,
2002-12,"2,415.50","-2,726.22","2,170.82",,"5,141.72",,
2003-01,"1,994.64",699.39,"1,903.90",,"1,295.25",,
2003-02,"1,499.09",401.99,"1,436.32",,"1,097.10",,
2003-03,"1,711.47",211.44,"1,587.80",,"1,500.03",,
2003-04,"2,065.07",330.57,"1,946.93",,"1,734.50",,
2003-05,"1,769.71",81.00,"1,592.41",,"1,688.71",,
2003-06,"1,915.01",-435.24,"1,720.40",,"2,350.25",,
2003-07,"1,967.44",151.85,"1,838.70",,"1,815.59",,
2003-08,"1,428.81",-274.86,"1,297.07",,"1,703.67",,
2003-09,"1,780.61",-299.16,"1,641.55",,"2,079.77",,
2003-10,"2,017.71",334.70,"1,866.10",,"1,683.01",,
