指标名称,宏观经济景气指数:预警指数,宏观经济景气指数:一致指数,宏观经济景气指数:先行指数,宏观经济景气指数:滞后指数,PMI,消费者信心指数(月)
2001-01,91.30,96.39,98.64,92.40,,113.20
2001-02,91.30,96.83,99.12,91.63,,112.90
2001-03,91.30,97.49,99.63,91.68,,113.20
2001-04,88.70,96.63,99.75,91.68,,113.80
2001-05,85.30,96.28,99.70,92.24,,113.40
2001-06,88.00,95.78,99.74,92.98,,113.60
2001-07,83.30,95.24,100.10,93.15,,114.50
2001-08,83.30,95.11,100.37,92.91,,113.80
2001-09,76.70,94.97,100.31,92.45,,113.50
2001-10,73.30,95.01,100.16,91.71,,113.40
2001-11,76.00,94.95,100.33,91.39,,113.10
2001-12,76.70,95.23,100.70,90.93,,113.30
2002-01,76.70,94.93,100.72,90.86,,113.10
2002-02,76.70,95.01,100.75,90.97,,113.30
2002-03,76.70,95.45,100.67,91.02,,113.40
2002-04,82.70,96.54,100.71,91.21,,113.30
2002-05,85.30,96.98,100.82,91.18,,113.30
2002-06,85.30,97.19,101.02,91.32,,113.50
2002-07,89.30,97.12,101.20,91.64,,113.50
2002-08,94.70,97.87,101.52,92.11,,113.40
2002-09,94.70,98.31,101.64,92.62,,113.50
2002-10,94.70,98.89,101.95,93.04,,113.60
2002-11,100.70,98.42,101.36,93.30,,113.90
2002-12,100.70,99.08,101.57,94.37,,113.80
2003-01,107.30,100.00,101.87,95.04,,114.00
2003-02,107.30,100.91,102.19,95.93,,114.10
2003-03,104.70,100.21,101.31,96.33,,113.90
2003-04,101.30,99.09,100.45,97.22,,103.50
2003-05,97.30,99.05,100.52,97.51,,100.00
2003-06,97.30,99.45,101.16,97.52,,103.40
2003-07,109.30,99.93,101.99,97.45,,106.40
2003-08,109.30,99.93,102.03,97.59,,108.20
2003-09,109.30,99.91,102.37,97.95,,108.60
2003-10,112.00,99.98,102.40,98.39,,109.90
2003-11,112.00,100.39,102.58,98.66,,110.30
2003-12,112.70,101.03,102.69,98.61,,111.20
2004-01,116.70,101.87,102.41,98.56,,111.30
2004-02,122.70,102.35,102.53,98.70,,111.10
2004-03,125.30,102.64,102.38,99.12,,111.30
2004-04,114.70,102.51,102.33,99.41,,110.80
2004-05,112.00,102.21,101.65,99.43,,108.00
2004-06,112.00,101.86,101.08,99.27,,105.10
2004-07,105.30,101.52,100.83,99.08,,106.30
2004-08,97.30,101.21,100.87,99.10,,105.90
2004-09,97.30,101.11,100.70,98.74,,106.50
2004-10,97.30,101.10,100.75,98.05,,107.10
2004-11,97.30,101.16,100.67,97.20,,108.20
2004-12,100.00,100.53,100.97,96.38,,108.70
2005-01,100.00,100.04,101.20,96.43,54.70,109.10
2005-02,100.00,99.69,101.48,96.14,54.50,109.60
2005-03,97.30,99.92,101.82,95.66,57.90,110.10
2005-04,97.30,100.15,102.23,94.45,56.70,110.50
2005-05,97.30,100.49,102.58,93.56,52.90,110.00
2005-06,100.00,100.63,102.59,93.18,51.70,110.40
2005-07,100.00,100.85,102.47,92.98,51.10,110.10
2005-08,102.70,100.86,102.41,92.83,52.60,110.30
2005-09,106.70,101.00,102.30,92.92,55.10,110.00
2005-10,106.70,100.92,102.00,93.39,54.10,109.30
2005-11,106.70,100.84,102.05,93.98,54.10,109.20
2005-12,104.00,101.04,102.22,94.89,54.30,110.00
2006-01,101.30,100.83,102.66,94.49,52.10,110.30
2006-02,104.70,100.94,102.88,94.50,52.10,109.20
2006-03,104.70,100.82,102.83,94.14,55.30,109.90
2006-04,107.30,101.36,102.53,94.82,58.10,109.40
2006-05,107.30,101.57,102.31,95.67,54.80,109.40
2006-06,106.70,101.64,102.04,96.31,54.10,109.80
2006-07,106.70,101.39,101.89,97.07,52.40,109.70
2006-08,105.30,101.16,101.98,97.52,53.10,110.20
2006-09,100.00,100.93,102.27,97.90,57.00,111.70
2006-10,100.00,100.94,102.50,98.27,54.70,111.60
