,指数收盘点位,,,,,,,,,
时间,股票,,,,大宗商品,,债券,,,现金及其等价物
,上证50,沪深300,中证500,中证1000,南华商品指数,标普高盛商品全收益指数,中债-综合财富(1年以下)指数,中债-综合财富(3-5年)指数,中债-综合财富(7-10年)指数,货币基金
2005/01/04,827.071,982.794,986.927,989.984,960.7908,5251.96,107.2269,106.9197,102.3091,977.2315
2005/01/05,831.428,992.564,1003.633,1013.583,955.9027,5208.85,107.2444,107.4062,102.643,977.32
2005/01/06,822.499,983.174,994.595,1005.465,963.3346,5395.42,107.3547,106.7339,101.3691,977.4099
2005/01/07,823.616,983.958,997.606,1011.74,966.8446,5386.83,107.3417,106.5764,102.3611,977.492
2005/01/10,832.986,993.879,1006.337,1023.638,963.8109,5403.23,107.3408,106.5618,102.3177,977.7195
2005/01/11,837.861,997.135,1008.343,1027.159,968.6159,5423.67,107.3881,106.6343,102.7482,977.7999
2005/01/12,837.244,996.748,1008.62,1024.92,973.5924,5441.54,107.3798,106.6372,102.6263,977.8932
2005/01/13,834.221,996.877,1013.07,1029.298,972.5684,5610.52,107.369,106.3001,101.8572,977.9915
2005/01/14,829.042,988.306,1000.169,1011.875,971.7379,5612.08,107.396,106.6599,102.684,978.0796
2005/01/17,811.554,967.452,977.522,986.661,971.4223,5612.08,107.3715,106.9367,103.0367,978.3179
2005/01/18,817.309,974.689,991.419,1008.107,972.2853,5593.59,107.4049,106.6576,103.0217,978.4073
2005/01/19,810.989,967.21,986.241,1002.46,974.5607,5576.15,107.416,106.8543,102.9865,978.499
2005/01/20,805.081,956.245,972.463,989.441,972.9558,5541.55,107.425,106.8379,102.5129,978.5869
2005/01/21,831.847,982.604,988.519,1006.25,976.6207,5639.9,107.4156,106.9072,103.1437,978.6793
2005/01/24,842.414,998.133,1008.175,1028.011,982.8943,5681.93,107.4689,107.042,103.8621,978.9069
2005/01/25,841.64,997.775,999.553,1015.1,977.0959,5747.46,107.4853,106.8605,103.6597,978.9951
2005/01/26,834.669,989.928,987.955,1006.84,972.8402,5712.79,107.5013,106.8473,103.3048,979.0952
2005/01/27,821.705,974.631,971.373,989.414,976.4125,5690.65,107.509,106.8626,102.7122,979.1871
2005/01/28,820.689,969.209,952.413,963.005,973.6026,5558.48,107.5347,107.2085,103.3016,979.2857
2005/01/31,813.753,954.879,922.653,924.166,969.3167,5635.92,107.5353,107.3842,104.2568,979.5307
2005/02/01,817.872,955.951,913.331,905.802,972.5503,5557.08,107.5728,107.32,103.7499,979.6126
2005/02/02,860.504,1006.913,964.243,958.392,970.4414,5506.54,107.6116,107.2569,103.185,979.7021
2005/02/03,848.486,993.215,945.312,936.861,967.9827,5457.2,107.6117,107.191,103.8311,979.7944
2005/02/04,872.884,1016.858,962.028,952.392,971.3676,5448.19,107.5853,107.3046,104.2335,979.8794
2005/02/16,875.46,1023.584,972.337,966.385,984.0286,5616.33,107.7561,107.8795,105.5323,980.7713
2005/02/17,870.085,1020.606,977.272,973.808,984.1084,5571.23,107.8216,107.7014,105.038,980.8552
2005/02/18,856.212,1006.055,964.769,964.005,992.0479,5625.3,107.8391,107.878,105.2219,980.9582
2005/02/21,874.021,1025.633,981.819,983.608,997.2945,5625.3,108.0918,107.589,104.6157,981.1724
2005/02/22,887.07,1046.744,1007.688,1015.658,1009.2401,5863.41,107.8326,107.7697,103.3954,981.2563
2005/02/23,877.914,1043.944,1019.258,1032.895,1009.1512,5886.82,107.8794,107.8775,104.59,981.3608
2005/02/24,877.345,1045.46,1024.446,1035.348,1021.0068,5896.74,107.8393,108.1243,104.1591,981.4432
2005/02/25,878.503,1046.761,1024.118,1032.413,1011.5521,5936.05,107.8647,108.3907,104.9976,981.5336
2005/02/28,868.886,1039.989,1020.847,1029.384,1036.3447,5986.82,107.9366,108.904,104.018,981.8026
2005/03/01,866.258,1035.934,1021.162,1030.815,1033.0788,5974.31,107.9491,108.392,103.8696,982.0073
2005/03/02,855.879,1021.32,1006.148,1014.527,1041.6656,6092.65,107.93,108.0341,104.7974,982.1604
2005/03/03,861.688,1027.71,1011.288,1020.248,1038.8877,6138.32,107.9113,107.9449,104.7829,982.2479
2005/03/04,859.489,1023.667,1003.21,1011.361,1033.5383,6143.63,107.8889,108.126,105.248,982.3297
2005/03/07,863.704,1029.871,1006.953,1013.594,1040.8474,6143.49,107.9561,108.3274,104.8601,982.5539
2005/03/08,876.344,1048.987,1029.457,1037.029,1036.6335,6243.46,107.9571,108.3579,104.4539,982.6468
2005/03/09,869.403,1046.544,1032.55,1042.182,1046.7134,6275.28,107.9657,108.3061,105.0483,982.7426
2005/03/10,851.531,1022.413,1005.545,1011.791,1049.8976,6189.89,107.9413,108.5771,105.3499,982.8303
2005/03/11,853.898,1027.429,1009.434,1017.453,1049.5763,6268.18,107.9642,108.5713,105.1404,982.9175
2005/03/14,857.614,1031.026,1007.766,1005.987,1061.6107,6304.3,108.0234,108.7713,105.1814,983.1432
2005/03/15,840.955,1013.523,993.831,993.476,1075.0488,6346.98,108.0427,108.7972,104.2287,983.2359
2005/03/16,832.823,1003.065,983.916,982.837,1099.3909,6454.76,108.0776,108.6691,105.4921,983.3343
2005/03/17,826.683,992.863,970.966,967.593,1096.8296,6452.41,108.051,109.1598,106.0154,983.5012
2005/03/18,821.028,978.665,949.509,946.705,1073.5088,6460.28,107.9821,109.5136,106.4474,983.5865
2005/03/21,823.129,981.893,949.553,950.792,1067.8559,6459.86,108.1893,109.5334,105.7464,983.8023
2005/03/22,808.104,964.024,922.564,915.939,1058.4809,6381.24,108.2072,109.5188,105.2692,983.8995
2005/03/23,801.981,959.01,923.194,915.974,1047.1897,6234.92,108.2507,109.3678,106.1029,983.9928
2005/03/24,808.18,964.801,933.347,928.54,1054.8445,6289.52,108.2044,109.4399,106.2568,984.0931
2005/03/25,806.425,962.955,931.417,923.196,1062.2822,6289.52,108.1944,109.5915,106.0274,984.1685
2005/03/28,805.556,960.696,922.923,911.354,1059.1126,6247.73,108.2565,109.3519,105.9192,984.3784
